#-Hlavicka-#
# z0 = 100.00m, v0 = -20.00m/s, alfa = 330 degrees, azimut = 20 degrees, r = 3.00m,
# tD = 3.61s, ymax = 21.39m, tm = 0.00s, ymax = 100.00
#----------#
1.51	8.95	73.72	5.92	-24.81	29.67
1.52	9.00	73.47	5.92	-24.91	29.75
1.53	9.06	73.22	5.92	-25.00	29.83
1.54	9.12	72.97	5.92	-25.10	29.92
1.55	9.18	72.72	5.92	-25.20	30.00
1.56	9.24	72.47	5.92	-25.30	30.08
1.57	9.30	72.21	5.92	-25.40	30.16
1.58	9.36	71.96	5.92	-25.49	30.25
1.59	9.42	71.70	5.92	-25.59	30.33
1.60	9.48	71.45	5.92	-25.69	30.41
1.61	9.54	71.19	5.92	-25.79	30.50
1.62	9.60	70.93	5.92	-25.89	30.58
1.63	9.66	70.67	5.92	-25.98	30.66
1.64	9.72	70.41	5.92	-26.08	30.74
1.65	9.77	70.15	5.92	-26.18	30.83
1.66	9.83	69.89	5.92	-26.28	30.91
1.67	9.89	69.63	5.92	-26.38	30.99
1.68	9.95	69.36	5.92	-26.48	31.08
1.69	10.01	69.10	5.92	-26.57	31.16
1.70	10.07	68.83	5.92	-26.67	31.25
1.71	10.13	68.56	5.92	-26.77	31.33
1.72	10.19	68.29	5.92	-26.87	31.41
1.73	10.25	68.02	5.92	-26.97	31.50
1.74	10.31	67.75	5.92	-27.06	31.58
1.75	10.37	67.48	5.92	-27.16	31.66
1.76	10.43	67.21	5.92	-27.26	31.75
1.77	10.49	66.94	5.92	-27.36	31.83
1.78	10.54	66.66	5.92	-27.46	31.92
1.79	10.60	66.39	5.92	-27.55	32.00
1.80	10.66	66.11	5.92	-27.65	32.09
1.81	10.72	65.84	5.92	-27.75	32.17
1.82	10.78	65.56	5.92	-27.85	32.26
1.83	10.84	65.28	5.92	-27.95	32.34
1.84	10.90	65.00	5.92	-28.04	32.43
1.85	10.96	64.72	5.92	-28.14	32.51
1.86	11.02	64.44	5.92	-28.24	32.59
1.87	11.08	64.15	5.92	-28.34	32.68
1.88	11.14	63.87	5.92	-28.44	32.76
1.89	11.20	63.58	5.92	-28.53	32.85
1.90	11.26	63.30	5.92	-28.63	32.94
1.91	11.31	63.01	5.92	-28.73	33.02
1.92	11.37	62.72	5.92	-28.83	33.11
1.93	11.43	62.44	5.92	-28.93	33.19
1.94	11.49	62.15	5.92	-29.02	33.28
1.95	11.55	61.86	5.92	-29.12	33.36
1.96	11.61	61.56	5.92	-29.22	33.45
1.97	11.67	61.27	5.92	-29.32	33.53
1.98	11.73	60.98	5.92	-29.42	33.62
1.99	11.79	60.68	5.92	-29.52	33.71
2.00	11.85	60.39	5.92	-29.61	33.79
2.01	11.91	60.09	5.92	-29.71	33.88
2.02	11.97	59.79	5.92	-29.81	33.96
2.03	12.03	59.49	5.92	-29.91	34.05
2.04	12.08	59.19	5.92	-30.01	34.14
2.05	12.14	58.89	5.92	-30.10	34.22
2.06	12.20	58.59	5.92	-30.20	34.31
2.07	12.26	58.29	5.92	-30.30	34.39
2.08	12.32	57.99	5.92	-30.40	34.48
2.09	12.38	57.68	5.92	-30.50	34.57
2.10	12.44	57.38	5.92	-30.59	34.65
2.11	12.50	57.07	5.92	-30.69	34.74
2.12	12.56	56.76	5.92	-30.79	34.83
2.13	12.62	56.45	5.92	-30.89	34.91
2.14	12.68	56.14	5.92	-30.99	35.00
2.15	12.74	55.83	5.92	-31.08	35.09
2.16	12.80	55.52	5.92	-31.18	35.17
2.17	12.85	55.21	5.92	-31.28	35.26
2.18	12.91	54.90	5.92	-31.38	35.35
2.19	12.97	54.58	5.92	-31.48	35.44
2.20	13.03	54.27	5.92	-31.57	35.52
2.21	13.09	53.95	5.92	-31.67	35.61
2.22	13.15	53.63	5.92	-31.77	35.70
2.23	13.21	53.32	5.92	-31.87	35.78
2.24	13.27	53.00	5.92	-31.97	35.87
2.25	13.33	52.68	5.92	-32.06	35.96
2.26	13.39	52.36	5.92	-32.16	36.05
2.27	13.45	52.03	5.92	-32.26	36.13
2.28	13.51	51.71	5.92	-32.36	36.22
2.29	13.57	51.39	5.92	-32.46	36.31
2.30	13.63	51.06	5.92	-32.56	36.40
2.31	13.68	50.74	5.92	-32.65	36.48
2.32	13.74	50.41	5.92	-32.75	36.57
2.33	13.80	50.08	5.92	-32.85	36.66
2.34	13.86	49.75	5.92	-32.95	36.75
2.35	13.92	49.42	5.92	-33.05	36.84
2.36	13.98	49.09	5.92	-33.14	36.92
